,b,epsp,alpha,Ec,Ev,Dn,Dp,gc,gv,N0,DIinf,EAI,Plim,inverted,dE,gcE,EcE,bE,epsE,DE,dH,gvH,EvH,bH,epsH,DH,tn,tp,vnE,vpE,vnH,vpH,ion_vmpp
206,3.0000000000000004e-07,30.0,10000000.0,-3.75,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,3.0,1e-05,1e-07,1e-08,0.01,1.0,1.0,1.0,0.975
212,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.35,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,3.0,1e-05,1e-07,1e-08,0.01,1.0,0.01,0.01,0.6749999999999996
213,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.35,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+22,9.999999999999999e+24,-5.25,1e-08,10.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,1.0,1.0,0.9149999999999997
215,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.35,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,3.0,1e-05,1e-07,1e-08,0.01,1.0,0.01,0.01,0.6599999999999998
216,3.0000000000000004e-07,15.0,20000000.0,-3.75,-5.35,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,1.0,1.0,0.5699999999999998
219,5.000000000000001e-07,30.0,20000000.0,-3.75,-5.35,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,1.0,1.0,0.5849999999999996
221,5.000000000000001e-07,15.0,10000000.0,-3.75,-5.35,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,1.0,0.01,0.5849999999999996
222,3.0000000000000004e-07,30.0,10000000.0,-3.75,-5.35,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,1.0,0.01,0.5999999999999994
224,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.4,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,0.01,0.01,0.8549999999999996
227,5.000000000000001e-07,30.0,20000000.0,-3.8,-5.4,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,0.01,0.01,0.8550000000000004
